dados_little;typeanimal;WorldSize
108,950,396,870,143;Herbivore;Smaller World
0,036877803;Herbivore;Smaller World
0,068273999;Herbivore;Smaller World
0,008599461;Herbivore;Smaller World
0,876358405;Herbivore;Smaller World
0,053450569;Herbivore;Smaller World
0,130370392;Herbivore;Smaller World
0,095989457;Herbivore;Smaller World
0,95218195;Herbivore;Smaller World
0,046930266;Herbivore;Smaller World
0,925127185;Herbivore;Smaller World
0,241412283;Herbivore;Smaller World
0,288815672;Herbivore;Smaller World
0,035120145;Herbivore;Smaller World
0,660421395;Herbivore;Smaller World
0,047554539;Herbivore;Smaller World
0,060367533;Herbivore;Smaller World
0,107490384;Herbivore;Smaller World
107,687,900,750,576;Herbivore;Smaller World
0,050705281;Herbivore;Smaller World
0,97276723;Herbivore;Smaller World
0,022084108;Herbivore;Smaller World
0,036467479;Herbivore;Smaller World
0;Herbivore;Smaller World
0,262878406;Herbivore;Smaller World
0;Herbivore;Smaller World
0,100326559;Herbivore;Smaller World
0,873642208;Herbivore;Smaller World
0,961337729;Herbivore;Smaller World
0,794329937;Herbivore;Smaller World
0,083663619;Herbivore;Smaller World
0,083576945;Herbivore;Smaller World
0,065672928;Herbivore;Smaller World
0,334215295;Herbivore;Smaller World
0,277541373;Herbivore;Smaller World
0,688241017;Herbivore;Smaller World
10,171,154,690,172;Herbivore;Smaller World
0,791229336;Herbivore;Smaller World
0,290952913;Herbivore;Smaller World
108,259,413,359,079;Herbivore;Smaller World
0,093111388;Herbivore;Smaller World
0,204829569;Herbivore;Smaller World
0,168855842;Herbivore;Smaller World
0,91163693;Herbivore;Smaller World
0,036307667;Herbivore;Smaller World
0,693140114;Herbivore;Smaller World
0,493450915;Herbivore;Smaller World
0,061540379;Herbivore;Smaller World
0,67891146;Herbivore;Smaller World
0,076368758;Herbivore;Smaller World
0,016554989;Herbivore;Smaller World
0,069756189;Herbivore;Smaller World
0,242453522;Herbivore;Smaller World
0,08134004;Herbivore;Smaller World
0,027120189;Herbivore;Smaller World
0,75114684;Herbivore;Smaller World
0,005787123;Herbivore;Smaller World
0,202352704;Herbivore;Smaller World
0,461786374;Herbivore;Smaller World
0,011001048;Herbivore;Smaller World
0,400436622;Herbivore;Smaller World
0,571604239;Herbivore;Smaller World
0,060327327;Herbivore;Smaller World
0,100634215;Herbivore;Smaller World
101,290,487,541,479;Herbivore;Smaller World
0,16525456;Herbivore;Smaller World
10,204,771,068,624;Herbivore;Smaller World
